Denominazione,Codice fiscale,Natura giuridica,Comune,Codice Ateco,Classe Valore della Produzione,Classe di Addetti,Classe di Capitale,Costituzione Impresa,Sezione Startup,Tag
CLARITY STUDIO S.R.L.,02879810998,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,1-100K euro,non disponibile,5K-10K euro,06/04/2023,14/04/2023,"Web, ARTIFICIALINTELLIGENCE, DESIGN"
BLACKLIME S.R.L.,02908410992,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),731102,1-100K euro,non disponibile,10K-50K euro,02/10/2023,17/10/2023,"Advertising&Promotion, MobileMarketing, MobileGames"
ANTARES ELECTROLYSIS S.R.L.,02975090990,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),721029,non disponibile,non disponibile,10K-50K euro,01/10/2024,11/10/2024,"HYDROGEN, Electrolyzers, IdrogenoVerde"
LULA.STUDIO S.R.L.,03072020997,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),582900,non disponibile,non disponibile,5K-10K euro,13/03/2026,19/03/2026,
BDS SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,01815930084,SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,SANREMO (IM),621000,non disponibile,non disponibile,1-5K euro,03/04/2025,16/03/2026,
LOGOSFORGE SOCIETA' BENEFIT S.R.L.,03068520992,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,non disponibile,non disponibile,1-5K euro,27/02/2026,10/03/2026,
BIRRA DUEPIU' S.R.L.,02841440999,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),110500,100K-500K euro,non disponibile,100K-250K euro,29/09/2022,12/10/2022,"birra, birrificio, birraartigianale"
E. POWER SYSTEMS SRL,02881590992,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),261100,1-100K euro,non disponibile,1-5K euro,12/04/2023,15/05/2023,"saldatura, inverter, Certificazione"
PARVASOFT S.P.A.,02985080999,SOCIETA' PER AZIONI,GENOVA (GE),621000,non disponibile,10-19 addetti,più di 5M di euro,12/12/2024,12/02/2026,"LOGISTICA, SupplyChainSaaSServices, AIDECISIONSUPPORTPLATFORM"
ARS BIONICA S.R.L.,02996020992,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),325020,non disponibile,non disponibile,5K-10K euro,24/01/2025,28/01/2025,PRODUZIONEMEDICALDEVICES
4T4 TECHNOLOGY SRL,03063040996,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,non disponibile,non disponibile,5K-10K euro,05/02/2026,16/02/2026,SaaS
PRKLY S.R.L.,03063790996,SOCIETA' A RESPONSABILITA' LIMITATA,GENOVA (GE),621000,non disponibile,non disponibile,1-5K euro,05/02/2026,13/02/2026,
